MOOSE : Matlab Tool for STPA Evaluation
 
Report created on : 09-Oct-2022 18:27:38
 
Responsibility  |Not providing causes hazard |Providing causes hazard |Too early, too late, out of order |Stopped too soon, applied too long 
Responsible Block : Crew 1| | | |
Pilot provides brake pedals|[#H2]Not providing braking on ground  | [#H4] Providing brake in air | [#H2] Providing brake too late on ground | [#H2] Stopping brake too soon
Pilot arms spoiler and reverse thrust|[#H2] Not arming external system | [#H6] | [#H2] Arms on ground | [#H2] Stops the arming process
Pilot provides steering commands|[#H51] Not providing steering | [#H51] Providing steering when not required | [#H51] Providing steering when aircraft has already gone off runway | [#H51] Providing steering for a long duration cause deviation
Pilot provides parking/emergency brakes|[#H2] Not providing emergency brake when brakes fail | [#H4] Providing emergency brake when brakes are okay - wet runway | [#H2] Appying emergency brake brakes when runway wet cause skid | [#H5, #H6] Applied emergency brake too long
Responsible Block : Crew 2| | | |
CO Pilot provides brake pedals|[#H2]Not providing braking on ground  | [#H4] Providing brake in air | [#H2] Providing brake too late on ground | [#H2] Stopping brake too soon
CO Pilot arms spoiler and reverse thrust|[#H2] Not arming external system | [#H4] | [#H2] Arms on ground | [#H2] Stops the arming process
CO Pilot provides steering commands|[#H51] Not providing steering | [#H51] Providing steering when not required | [#H51] Providing steering when aircraft has already gone off runway | [#H51] Providing steering for a long duration cause deviation
CO Pilot provides parking/emergency brakes|[#H2] Not providing emergency brake when brakes fail | [#H4] Providing emergency brake when brakes are okay - wet runway | [#H2] Appying emergency brake brakes when runway wet cause skid | [#H5, #H6] Applied emergency brake too long
Responsible Block : Consolidated Controller| | | |
Consolidated Commands to Brakes|[#H2] Not providing commands to brakes on ground (wont stop) | [#H1] Providing brakes when not commanded | [#H2] Commanding brakes too late (wont stop) | [#H31, #H41] Commanding brakes too long (can skid or lock)
Consolidated steering commands|[#H5] Not providing steering on runway | [#H51] Providing steering when already on path | [#H51] Providing steering out of sync | [#H51] Providing steering too long
Braking when not in Use (in U/C hold)|[#H61] Not providing brakes when unused | [#H1] Providing when in use (not in U/C hold) | [#H61] Providing out of sync | [#H4] Applying even after wheels stop spinning
Arm the thrust reverse|[#H2] Not arming when commanded | [#H1] Arming when not commanded | [#H2] Arming delayed after commanded | [#H2] Not completing Arm in air
Arm the Spoiler deployment|[#H2] Not arming when commanded | [#H1] Arming when not commanded | [#H2] Arming delayed from command | [#H2] Not completing Arm in air
Responsible Block : Engine thrust reversal | | | |
Thrust Reversal Deployment|[#H2] Not providing on touchdown | [#H1] Providing in Air  | [#H4] Providing too late after touchdown   | [#H2] Providing for a short duration (safe speed not reached)
Thrust Reversal Deployment| | [#H5] Providing unequal |  | 
Responsible Block : Aerodynamic brake| | | |
Aerodynamic Brakes deployment |[#H2] Not providing on touchdown | [#H1] Providing in Air  | [#H4] Providing too late after touchdown   | [#H2] Providing for a short duration (safe speed not reached)
Aerodynamic Brakes deployment | | [#H5] Providing unequal |  | 
Responsible Block : Wheel brake controller | | | |
Providing Brake Pressure |[#H2] Not providing when commanded | [#H1] Providing when not commanded | [#H4] Providing out of sync | [#H31] Applied too long 
Providing Brake Pressure | | [#H41] Providing in air when in use | [#H41] Providing before touchdown | 
Responsible Block : Nose Wheel Rudder| | | |
Providing wheel Turn|[#H51] Not providing when not on center line | [#H51] Providing in air (lock) | [#H51] Providing out of sync | [#H51] Applied too long (stuck) 
Providing rudder|[H51] Not providing when not on center line |  | [#H51] Providing out of sync | [#H51] Applied too long
 
